D,D_lazy,churny_fraction,num_seeds,delivery_rate_mean,delivery_rate_std,p99_latency_sec_mean,p99_latency_sec_std,bytes_per_delivery_mean,bytes_per_delivery_std,p50_latency_sec_mean,p50_latency_sec_std,p90_latency_sec_mean,p90_latency_sec_std,avg_latency_sec_mean,avg_latency_sec_std,payload_bytes_MB_mean,payload_bytes_MB_std,control_bytes_MB_mean,control_bytes_MB_std,meshmnt_bytes_MB_mean,meshmnt_bytes_MB_std,gossip_bytes_MB_mean,gossip_bytes_MB_std,total_bytes_MB_mean,total_bytes_MB_std,payload_pct_mean,payload_pct_std,messages_published_mean,messages_published_std,total_deliveries_mean,total_deliveries_std,drops_peer_mean,drops_peer_std,drops_offline_mean,drops_offline_std,online_rate_mean,online_rate_std
2.0,9.0,0.1,3.0,0.9206134637900436,0.0,3.1,0.0,5281.561293066319,0.0,2.0,0.0,2.6,0.0,1.9737210926761852,0.0,1758.12158203125,0.0,750.5106506347656,0.0,0.9777069091796876,0.0,749.5329437255859,0.0,2508.632232666016,0.0,70.08287460943725,0.0,541.0,0.0,532564.0,0.0,0.0,0.0,23838.0,0.0,0.983,0.0
2.0,9.0,0.2,3.0,0.8462342993535055,0.0,3.4000000000000004,0.0,7020.955210138006,9.094947017729282e-13,1.8,0.0,2.4000000000000004,0.0,2.092491370006933,0.0,2474.55615234375,0.0,783.4714393615723,0.0,2.238941192626953,0.0,781.2324981689453,0.0,3258.0275917053223,0.0,75.95258427656574,0.0,575.0,0.0,559676.0,0.0,0.0,0.0,48487.0,0.0,0.963,0.0
2.0,9.0,0.3,3.0,0.7774693274586976,0.0,167.0,0.0,41688.87808502591,0.0,1.7000000000000002,0.0,2.4000000000000004,0.0,6.604042669352957,0.0,14225.9912109375,0.0,2774.6870460510254,0.0,4.199695587158203,0.0,2770.487350463867,0.0,17000.678256988525,0.0,83.67896266191364,0.0,550.0,0.0,543997.0,0.0,1476.0,0.0,296450.0,0.0,0.954,1.1102230246251563e-16
2.0,9.0,0.4,3.0,0.7461673280884252,0.0,126.55,0.0,99319.38219180625,0.0,1.7000000000000002,0.0,2.5,0.0,5.910961782586472,8.881784197001252e-16,32318.53564453125,0.0,5422.306098937988,0.0,5.410957336425781,0.0,5416.8951416015625,0.0,37740.84174346924,0.0,85.63278970884035,0.0,534.0,0.0,530151.0,0.0,106648.0,0.0,633885.0,0.0,0.9419999999999998,1.1102230246251563e-16
2.0,13.0,0.0,3.0,0.9982521891418564,0.0,2.1,0.0,4988.48731057084,0.0,1.4,0.0,1.8,0.0,1.3829447290365298,2.220446049250313e-16,1572.04248046875,0.0,1139.6806030273438,0.0,0.0,0.0,1139.6806030273438,0.0,2711.7230834960938,0.0,57.97208756441279,0.0,571.0,0.0,569431.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,13.0,0.1,3.0,0.9198392381791876,1.1102230246251563e-16,3.2000000000000006,4.440892098500626e-16,6382.73090719277,0.0,2.0,0.0,2.6,0.0,2.02381266268422,0.0,1937.056640625,0.0,1103.256965637207,0.0,0.9756088256835938,0.0,1102.2813568115234,0.0,3040.313606262207,0.0,63.71239587374138,0.0,543.0,0.0,534010.0,0.0,0.0,0.0,29920.0,0.0,0.988,0.0
2.0,13.0,0.2,3.0,0.8481877196553095,0.0,6.300000000000001,0.0,10234.071244077826,0.0,1.8,0.0,2.4000000000000004,0.0,2.6612988944630414,0.0,3416.99560546875,0.0,1343.0196838378906,0.0,2.254486083984375,0.0,1340.7651977539062,0.0,4760.015289306641,0.0,71.78539138613735,0.0,575.0,0.0,560723.0,0.0,0.0,0.0,70984.0,0.0,0.964,0.0
2.0,13.0,0.3,3.0,0.8026719454285459,1.1102230246251563e-16,138.20000000000002,0.0,74264.1070464139,0.0,1.7000000000000002,0.0,2.4000000000000004,0.0,5.7706946569471,0.0,26195.64111328125,0.0,6264.712188720703,0.0,4.282379150390625,0.0,6260.4298095703125,0.0,32460.353302001957,0.0,80.70041896822381,0.0,571.0,0.0,566006.0,0.0,49156.0,0.0,573993.0,0.0,0.948,0.0
2.0,13.0,0.4,3.0,0.7600676118184536,0.0,94.5,0.0,141624.34388632455,0.0,1.7000000000000002,0.0,2.5,0.0,4.745746192563023,0.0,47474.45068359375,0.0,9705.716320037842,0.0,5.487728118896484,0.0,9700.228591918943,0.0,57180.16700363159,0.0,83.02607909588403,0.0,557.0,0.0,553128.0,0.0,145792.0,0.0,942874.0,0.0,0.926,0.0
2.0,17.0,0.0,3.0,0.9984771480804387,0.0,2.1,0.0,5692.657461911833,0.0,1.4,0.0,1.8,0.0,1.3855534987720393,2.220446049250313e-16,1504.0107421875,0.0,1461.0977935791016,0.0,0.0,0.0,1461.0977935791016,0.0,2965.1085357666016,0.0,50.72363200352974,0.0,547.0,0.0,545620.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,17.0,0.1,3.0,0.9225720034681736,0.0,3.0,0.0,7473.087699657169,0.0,2.0,0.0,2.5,0.0,2.0148475802254056,0.0,2246.52099609375,0.0,1474.9691047668457,0.0,0.9835243225097656,0.0,1473.985580444336,0.0,3721.490100860596,0.0,60.36616879819837,0.0,566.0,0.0,559081.0,0.0,0.0,0.0,37211.0,0.0,0.989,0.0
